genotype_id,gene_symbols,zygosity,expression_direction,genetic_background,primary_system,n_phenotype_terms,is_famous,eligible,phenotype_terms,pmids,direction,aging_terms,also_developmental
MGI:2167491,Trp53,homozygote,decreased,involves: 129S7/SvEvBrd,cellular,22,1,1,abnormal response to cardiac infarction|increased cell proliferation|increased tumor incidence|increased sarcoma incidence|increased rhabdomyosarcoma incidence|increased carcinoma incidence|abnormal cell cycle|decreased cellular sensitivity to gamma-irradiation|oxidative stress|abnormal thymus physiology|increased osteosarcoma incidence|increased cellular glucose import|abnormal chromosome number|abnormal cell cycle checkpoint function|decreased cellular sensitivity to ionizing radiation induced cell death|abnormal cell physiology|decreased apoptosis|delayed cellular replicative senescence|decreased sensitivity to induced cell death|decreased thymocyte apoptosis|increased fibroblast proliferation|increased lymphoma incidence,10508513|10508513|12097646|17158931|10508513|16597604|22682249|10508513|21127973|22682249|12097646|12192050|16533502|16597604|17332334|16616333|22682249|16670198|17158931|21127973|17332334|17332334|21127973|21127973|21127973|22682249|22682249|9861017,shortens,premature death|decreased tumor-free survival time|decreased susceptibility to induced morbidity/mortality,0
MGI:2170796,Dbf,heterozygote,unknown,involves: 101/H * C3H/HeH,limbs/digits/tail,50,0,1,abnormal frontal bone morphology|abnormal scapula morphology|abnormal craniofacial morphology|increased cranium width|abnormal carpal bone morphology|abnormal hindlimb morphology|abnormal tibia morphology|polydactyly|abnormal foot pad morphology|clubfoot|kinked tail|thick tail|abnormal diencephalon morphology|decreased body weight|decreased body size|hunched posture|decreased embryo size|hydrocephaly|infertility|male infertility|female infertility|abnormal estrous cycle|decreased litter size|abnormal eye morphology|abnormal limb morphology|abnormal digit morphology|abnormal tail morphology|abnormal fibula morphology|delayed vaginal opening|oligozoospermia|short tibia|polysyndactyly|scapular bone foramen|bowed tibia|bowed ulna|bowed fibula|bowed radius|broad limb buds|increased lumbar vertebrae number|decreased length of long bones|decreased testis weight|abnormal tarsal bone morphology|abnormal skeleton morphology|abnormal thoracic cage shape|increased autopod size|Wormian bones|broad snout|wide sagittal suture|abnormal anterior fontanelle morphology|wide metopic suture,9062079|9062079|9758139|9758139,shortens,premature death,1
MGI:2172552,Otx2,heterozygote,decreased,involves: C57BL/6 * CBA,craniofacial,62,0,1,abnormal malleus morphology|absent mandible|abnormal basisphenoid bone morphology|abnormal craniofacial morphology|abnormal cranium morphology|abnormal snout morphology|short snout|abnormal mandible morphology|abnormal inferior colliculus morphology|abnormal third ventricle morphology|abnormal hindbrain morphology|abnormal trigeminal V mesencephalic nucleus morphology|abnormal oculomotor nerve morphology|abnormal trochlear nerve morphology|abnormal trigeminal nerve morphology|anophthalmia|microphthalmia|abnormal eye distance/ position|abnormal eyelid morphology|abnormal eye morphology|abnormal nasal cavity morphology|abnormal nasal septum morphology|abnormal vomeronasal organ morphology|micrognathia|abnormal sclera morphology|aphakia|abnormal alisphenoid bone morphology|absent olfactory bulb|abnormal retina layer morphology|abnormal palate morphology|abnormal adenohypophysis morphology|abnormal embryonic neuroepithelium morphology|abnormal presphenoid bone morphology|abnormal pterygoid bone morphology|basisphenoid bone foramen|abnormal nasal capsule morphology|absent nasal septum|absent mandibular coronoid process|abnormal ciliary ganglion morphology|abnormal incus morphology|abnormal anterior eye segment morphology|abnormal extraocular muscle morphology|aniridia|small cranium|retina pigment epithelium hyperplasia|abnormal Meckel's cartilage morphology|absent nasal capsule|abnormal olfactory epithelium morphology|absent choroid plexus|acephaly|absent tongue|absent midbrain|abnormal midbrain-hindbrain boundary morphology|absent forebrain|absent cornea|absent metencephalon|decreased embryonic neuroepithelium thickness|absent vomeronasal organ|ethmocephaly|absent orbitosphenoid bone|abnormal temporal bone tympanic part morphology|absent nasopharynx,11493561|7590242|7590242|9895322|9895322,shortens,premature death,1
MGI:2173283,Gsx1,homozygote,decreased,involves: 129P2/OlaHsd,endocrine/exocrine gland,20,0,1,decreased leukocyte cell number|decreased neutrophil cell number|shortened head|decreased body weight|decreased body size|delayed eyelid opening|abnormal pituitary secretion|abnormal hypothalamus secretion|infertility|abnormal gland morphology|abnormal gland physiology|abnormal thermosensation|decreased lymphocyte cell number|small pituitary gland|abnormal long bone epiphyseal ossification zone morphology|small adenohypophysis|decreased somatotroph cell number|decreased lactotroph cell number|decreased testes secretion|decreased ovary secretion,8631293,shortens,premature death,1
MGI:2173417,Ptch1,heterozygote,decreased,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,neoplasm,7,0,1,abnormal cerebellar molecular layer|increased tumor incidence|increased rhabdomyosarcoma incidence|increased hemangiosarcoma incidence|increased medulloblastoma incidence|increased gastrointestinal tumor incidence|increased lymphoma incidence,16849540|19147535,shortens,premature death|decreased tumor-free survival time,0
MGI:2174706,Pkd2,heterozygote,decreased,involves: 129/Sv * C57BL/6J * SJL,growth/size/body region,2,0,1,liver cyst|kidney cyst,10615132|10615132|9568711,shortens,premature death,0
MGI:2174746,Src,homozygote,decreased,either: 129S7/SvEvBrd-Src<tm1Sor> or (involves: 129S7/SvEvBrd * C57BL/6J),skeleton,27,0,1,abnormal bone marrow cavity morphology|osteopetrosis|abnormal tooth eruption|failure of tooth eruption|absent incisors|decreased compact bone thickness|diluted coat color|decreased body weight|decreased body size|delayed eyelid opening|increased inflammatory response|abnormal limb morphology|abnormal craniofacial bone morphology|abnormal bone marrow morphology|delayed endochondral bone ossification|abnormal long bone morphology|abnormal bone structure|abnormal long bone diaphysis morphology|decreased length of long bones|decreased bone resorption|abnormal anterior eye segment morphology|increased long bone epiphyseal plate size|abnormal bone trabecula morphology|increased trabecular bone mass|abnormal head shape|broad face|periodontium inflammation,1997203,shortens,premature death,0
MGI:2174763,Tcirg1,homozygote,decreased,involves: 129S4/SvJae * C57BL/6J,skeleton,16,0,1,increased bone mineral density|abnormal bone marrow cavity morphology|osteopetrosis|failure of tooth eruption|abnormal long bone metaphysis morphology|decreased compact bone thickness|abnormal long bone hypertrophic chondrocyte zone|decreased circulating calcium level|short limbs|decreased body weight|abnormal osteoclast physiology|abnormal bone mineralization|rickets|absent compact bone|decreased vitamin D level|absent teeth,10581033|10581033|25811986|25811986,shortens,premature death,0
MGI:2174766,Terc,homozygote,decreased,involves: 129/Sv * C57BL/6J * SJL,cardiovascular system,48,1,1,kyphosis|abnormal angiogenesis|abnormal myocardial fiber morphology|alopecia|abnormal intestine morphology|open neural tube|abnormal oocyte morphology|decreased body weight|weight loss|decreased body size|decreased locomotor activity|abnormal cardiovascular system physiology|cardiac hypertrophy|reduced female fertility|infertility|abnormal meiosis|decreased litter size|decreased incidence of induced tumors|abnormal developmental patterning|heart left ventricle hypertrophy|dilated cardiomyopathy|decreased heart weight|abnormal cardiac muscle contractility|abnormal telomere length|testicular atrophy|increased cardiomyocyte apoptosis|abnormal fetal cardiomyocyte proliferation|abnormal chromosome morphology|increased left ventricle diastolic pressure|decreased left ventricle developed pressure|decreased heart left ventricle weight|abnormal cardiac muscle relaxation|decreased fetal size|decreased incidence of tumors by chemical induction|decreased myocardial fiber number|decreased B cell proliferation|decreased T cell proliferation|abnormal female meiosis|abnormal male meiosis|increased apoptosis|congestive heart failure|abnormal spermatocyte morphology|decreased spleen germinal center number|increased B cell apoptosis|increased embryonic tissue cell apoptosis|increased male germ cell apoptosis|decreased spleen B cell follicle number|abnormal binucleate cardiomyocyte morphology,10064584|10064584|15084742|10654945|10654945|11809709|12505991|15084742|15731767|17360455|9335332|11809709|12505991|15084742|15084742|17360455|15731767|17360455,shortens,premature death|premature aging,1
MGI:2174772,Tgfb1,homozygote,decreased,involves: 129S/SvEv,immune system,18,0,1,abnormal liver morphology|abnormal lung morphology|disheveled coat|colonic necrosis|gastric necrosis|abnormal immune system physiology|increased inflammatory response|atrial endocarditis|abnormal atrial thrombosis|myocarditis|pericarditis|interstitial pneumonia|pancreas inflammation|salivary gland inflammation|lymph node inflammation|cachexia|absent Langerhans cell|phlebitis,17353357|8421714,shortens,premature death,1
