hallmark,keywords
genomic instability,dna repair|dna damage|double-strand break|mismatch repair|nucleotide-excision|base-excision|dna recombination|dna replication|chromosome segregation|genome
telomere attrition,telomere|telomerase
epigenetic alterations,histone|chromatin|dna methylation|methyltransferase|deacetyl|chromatin remodeling|epigenetic
loss of proteostasis,protein folding|chaperone|unfolded protein|proteasom|ubiquitin|endoplasmic reticulum|proteolysis
disabled macroautophagy,autophagy|autophagosome|mitophagy
deregulated nutrient sensing,insulin|insulin-like growth factor|mtor|tor signaling|ampk|amino acid|nutrient|glucose homeostasis|sirtuin
mitochondrial dysfunction,mitochond|oxidative phosphorylation|respiratory chain|electron transport|atp synthesis|tricarboxylic acid|reactive oxygen
cellular senescence,senescence|cell cycle arrest|cyclin-dependent kinase inhibitor|replicative
stem cell exhaustion,stem cell|progenitor|self-renewal|hematopoietic stem
altered intercellular communication,cytokine|chemokine|cell-cell signaling|paracrine|hormone secretion|growth factor|intercellular
chronic inflammation,inflammat|nf-kappab|interleukin|innate immune|tumor necrosis factor|immune response
dysbiosis,microbiota|microbiome|commensal|gut bacteria|microbial
