primary_system,role,label,mortality_category,lethality_stage,genotype_id,gene_symbols,zygosity,expression_direction,split,n_phenotype_terms,pmids,phenotype_terms
homeostasis/metabolism,pos_adult,1,death,adult_aging,MGI:6367580,Arv1,homozygote,decreased,train,42,29491146,decreased circulating HDL cholesterol level|abnormal liver physiology|abnormal maternal nurturing|impaired coordination|decreased brown adipose tissue amount|seizures|decreased circulating triglyceride level|increased insulin sensitivity|increased circulating alkaline phosphatase level|abnormal feces composition|decreased lean body mass|increased bile salt level|increased energy expenditure|decreased circulating cholesterol level|increased unsaturated fatty acids level|increased saturated fatty acids level|decreased unsaturated fatty acids level|increased oxygen consumption|improved glucose tolerance|abnormal bile salt homeostasis|increased blood urea nitrogen level|decreased susceptibility to diet-induced obesity|decreased circulating leptin level|increased carbon dioxide production|increased basal metabolism|decreased epididymal fat pad weight|decreased inguinal fat pad weight|decreased mesenteric fat pad weight|decreased retroperitoneal fat pad weight|decreased liver triglyceride level|decreased liver cholesterol level|abnormal intestine physiology|decreased liver free fatty acids level|increased circulating ghrelin level|increased food intake|decreased circulating lactate dehydrogenase level|decreased fasting circulating glucose level|decreased body fat mass|decreased liver enzyme/coenzyme level|increased circulating adiponectin level|decreased susceptibility to diet-induced hepatic steatosis|increased locomotor activity
homeostasis/metabolism,pos_adult,1,death,adult_aging,MGI:5293760,Npc1,homozygote,none,test,9,21896731,tremors|decreased Purkinje cell number|decreased body weight|weight loss|ataxia|abnormal lipid level|increased cholesterol level|foam cell reticulosis|increased liver cholesterol level
homeostasis/metabolism,pos_adult,1,death,adult_aging,MGI:3614973,,homozygote,unknown,train,15,10655497,enlarged heart|enlarged liver|pale liver|decreased body weight|increased circulating triglyceride level|increased circulating free fatty acids level|hepatic steatosis|increased liver weight|increased circulating VLDL triglyceride level|decreased circulating carnitine level|increased cholesterol level|impaired lipolysis|increased liver triglyceride level|increased liver cholesterol level|increased cardiac muscle triglyceride level
homeostasis/metabolism,pos_adult,1,death,adult_aging,MGI:2175012,Slc2a4,homozygote,decreased,test,11,7675081,abnormal circulating glucose level|cardiac hypertrophy|postnatal growth retardation|increased circulating insulin level|abnormal muscle physiology|decreased circulating free fatty acids level|increased heart weight|decreased circulating ketone body level|insulin resistance|decreased gonadal fat pad weight|decreased total body fat amount
homeostasis/metabolism,pos_dev,1,death,developmental,MGI:2669271,Proc,homozygote,decreased,test,12,9788960,abnormal suckling behavior|focal hepatic necrosis|liver inflammation|intracranial hemorrhage|abnormal innate immunity|abnormal blood coagulation|liver degeneration|liver fibrosis|bruising|abnormal cardiac thrombosis|abnormal lung thrombosis|abnormal brain thrombosis
homeostasis/metabolism,neg,0,none,na,MGI:6408315,Cry1,homozygote,decreased,test,3,,increased leukocyte cell number|decreased circulating serum albumin level|decreased fasting circulating glucose level
homeostasis/metabolism,neg,0,none,na,MGI:2680724,Osmr,homozygote,decreased,train,31,12855584|24695736,decreased hematocrit|increased circulating triglyceride level|increased circulating free fatty acids level|anemia|increased inflammatory response|increased circulating insulin level|abnormal definitive hematopoiesis|abnormal megakaryocyte progenitor cell morphology|hepatic steatosis|decreased erythrocyte cell number|increased liver weight|thrombocytopenia|increased pancreatic beta cell number|increased circulating cholesterol level|impaired glucose tolerance|insulin resistance|increased circulating glucose level|increased susceptibility to diet-induced obesity|increased circulating leptin level|abnormal common myeloid progenitor cell morphology|decreased megakaryocyte cell number|increased circulating tumor necrosis factor level|increased circulating interleukin-10 level|abnormal erythroid progenitor cell morphology|increased epididymal fat pad weight|increased liver triglyceride level|increased liver cholesterol level|decreased liver glycogen level|increased subcutaneous adipose tissue amount|increased food intake|white adipose tissue inflammation
homeostasis/metabolism,neg,0,none,na,MGI:7629109,Sun3,homozygote,decreased,train,2,,increased circulating calcium level|male infertility
homeostasis/metabolism,neg,0,none,na,MGI:3513902,Chohd6,heterozygote,unknown,train,3,15342683,increased circulating LDL cholesterol level|increased circulating HDL cholesterol level|increased circulating cholesterol level
homeostasis/metabolism,neg,0,none,na,MGI:3579418,,hemizygote,increased,train,12,15778720,decreased body weight|weight loss|abnormal blood vessel morphology|decreased white adipose tissue amount|increased insulin sensitivity|abnormal white adipose tissue morphology|increased adiponectin level|increased oxygen consumption|abnormal circulating hormone level|decreased susceptibility to diet-induced obesity|decreased circulating leptin level|decreased total body fat amount
