primary_system,role,label,mortality_category,lethality_stage,genotype_id,gene_symbols,zygosity,expression_direction,split,n_phenotype_terms,pmids,phenotype_terms
nervous system,pos,1,death,developmental,MGI:4839271,Trio,multi-locus,none,test,19,20516067,decreased brain size|abnormal dentate gyrus morphology|small cerebellum|abnormal cerebellum external granule cell layer morphology|abnormal cerebellar granule layer morphology|decreased body weight|ataxia|limb grasping|postnatal growth retardation|small olfactory bulb|increased neuron apoptosis|abnormal cerebellar granule cell morphology|abnormal rostral migratory stream morphology|absent gastric milk in neonates|abnormal neuron differentiation|abnormal olfactory bulb mitral cell layer morphology|abnormal cerebellum lobule morphology|abnormal cerebellar granule cell migration|abnormal Bergmann glial cell morphology
behavior/neurological,pos,1,death,adult_aging,MGI:3046917,Fezf2,homozygote,decreased,test,6,15188439,abnormal thalamus morphology|abnormal telencephalon development|abnormal stationary movement|hyperactivity|abnormal food preference|postnatal growth retardation
renal/urinary system,pos,1,death,developmental,MGI:2174756,Tcf21,homozygote,decreased,test,12,10944221,abnormal kidney development|absent spleen|pulmonary hypoplasia|absent pulmonary alveoli|cyanosis|respiratory distress|renal hypoplasia|pallor|impaired branching involved in ureteric bud morphogenesis|abnormal spleen development|abnormal branching involved in lung morphogenesis|renal glomerulus atrophy
behavior/neurological,pos,1,death,developmental,MGI:3027223,Zfp423,homozygote,unknown,test,2,12955145,tremors|ataxia
skeleton,pos,1,death,developmental,MGI:5635889,Idh1,multi-locus,none,test,6,25730874,abnormal cartilage morphology|abnormal cartilage development|decreased body size|abnormal long bone epiphyseal plate morphology|abnormal tracheal cartilage morphology|pectus excavatum
behavior/neurological,pos,1,death,developmental,MGI:2386292,Scnn1a,homozygote,decreased,test,4,8589728,decreased locomotor activity|abnormal eating behavior|cyanosis|respiratory distress
embryo,pos,1,death,developmental,MGI:6263845,Utp4,homozygote,decreased,train,2,,failure of blastocyst to hatch from the zona pellucida|abnormal morula morphology
growth/size/body region,pos,1,death,developmental,MGI:6392266,Tulp3,homozygote,decreased,test,8,30799240,cleft palate|increased rib number|enlarged kidney|abnormal skeleton morphology|increased circulating creatinine level|increased blood urea nitrogen level|polycystic kidney|increased kidney cell proliferation
embryo,pos,1,death,developmental,MGI:2679156,Recql4,homozygote,decreased,test,2,11979727,abnormal trophoblast giant cell morphology|decreased inner cell mass proliferation
embryo,pos,1,death,developmental,MGI:3036432,Cse1l,homozygote,decreased,train,2,11564884,decreased embryo size|abnormal embryonic tissue morphology
embryo,pos,1,death,developmental,MGI:7719839,Taf1a,homozygote,decreased,test,2,,failure of blastocyst to hatch from the zona pellucida|failure of blastocyst formation
cellular,pos,1,death,developmental,MGI:3831181,Lig4|Mre11a,multi-locus,decreased,test,1,19171781,decreased cellular sensitivity to ionizing radiation induced cell death
growth/size/body region,pos,1,death,developmental,MGI:3697480,Dkk1|Sfrp5,multi-locus,decreased,test,1,17133501,abnormal anterior head development
nervous system,pos,1,death,developmental,MGI:2175866,Erbb3,homozygote,decreased,test,14,9338783,motor neuron degeneration|abnormal dorsal root ganglion morphology|small dorsal root ganglion|abnormal cranial nerve morphology|abnormal cranial ganglia morphology|abnormal PNS glial cell morphology|absent Schwann cell precursors|decreased body weight|no spontaneous movement|unresponsive to tactile stimuli|cyanosis|respiratory failure|increased neuron apoptosis|neuron degeneration
nervous system,pos,1,death,developmental,MGI:2181775,Ank2,homozygote,altered,train,11,11449000|9832558|9832558,decreased corpus callosum size|decreased body weight|abnormal locomotor behavior|impaired balance|disorganized secondary lens fibers|abnormal axon morphology|optic nerve degeneration|enlarged lateral ventricles|abnormal anterior corticospinal tract morphology|abnormal lateral corticospinal tract morphology|decreased brain internal capsule size
nervous system,pos,1,death,developmental,MGI:2175786,Cxcr4,homozygote,decreased,test,11,9689100,decreased bone marrow cell number|kidney vascular congestion|kidney hemorrhage|abnormal cerebellum morphology|absent cerebellar foliation|thin external granule cell layer|ectopic Purkinje cell|atelectasis|decreased body size|impaired myelopoiesis|decreased pro-B cell number
neoplasm,pos,1,death,adult_aging,MGI:3819955,,homozygote,increased,train,6,9041192,increased adrenal gland tumor incidence|increased testis tumor incidence|increased prostate intraepithelial neoplasia incidence|urinary bladder obstruction|increased hibernoma incidence|increased prostate gland tumor incidence
respiratory system,pos,1,death,developmental,MGI:6118978,Tnrc6c,homozygote,decreased,train,3,28811219,cyanosis|respiratory distress|abnormal lung-associated mesenchyme development
immune system,pos,1,death,adult_aging,MGI:5795857,Wipf1,homozygote,decreased,train,31,17086554,increased monocyte cell number|increased granulocyte number|abnormal stomach glandular epithelium morphology|crypts of Lieberkuhn abscesses|abnormal spleen morphology|enlarged spleen|abnormal thymus morphology|lung inflammation|interstitial pneumonia|abnormal lymph node B cell domain morphology|abnormal Peyer's patch T cell area morphology|abnormal bone marrow cell morphology/development|abnormal lymphopoiesis|increased IgA level|glomerulonephritis|colitis|joint inflammation|increased autoantibody level|abnormal gastric surface mucous cell morphology|decreased thymus weight|decreased lymphocyte cell number|decreased B cell number|glomerulosclerosis|decreased follicular B cell number|decreased marginal zone B cell number|increased spleen red pulp amount|decreased spleen white pulp amount|abnormal glomerular mesangium morphology|abnormal alpha-beta T cell morphology|abnormal hemopoiesis|impaired erythropoiesis
cardiovascular system,pos,1,death,developmental,MGI:5301337,B9d1,homozygote,decreased,train,6,21763481,abnormal craniofacial morphology|abnormal embryo development|abnormal limb morphology|abnormal cardiovascular system morphology|abnormal kidney morphology|abnormal hepatobiliary system morphology
behavior/neurological,pos,1,death,postnatal,MGI:5771988,Scn8a,homozygote,unknown,test,5,,paralysis|hindlimb paralysis|decreased body size|ataxia|impaired muscle relaxation
craniofacial,pos,1,death,developmental,MGI:5003063,Anp32b,homozygote,decreased,test,5,21636789,abnormal inner ear morphology|cleft palate|abnormal craniofacial morphology|primary atelectasis|enlarged brain ventricles
vision/eye,pos,1,death,developmental,MGI:3579858,Otx1,homozygote,decreased,test,14,9077465,abnormal cartilage morphology|abnormal cranium morphology|abnormal cerebral cortex morphology|abnormal third ventricle morphology|abnormal trigeminal V mesencephalic nucleus morphology|abnormal lens morphology|retina hyperplasia|absent lacrimal glands|abnormal nervous system morphology|abnormal orbitosphenoid bone morphology|abnormal eye anterior chamber morphology|small hippocampus|meteorism|increased cornea thickness
