mp_id,name,category,label_contribution,lethality_stage
MP:0001657,abnormal induced morbidity/mortality,conditional,,na
MP:0001658,increased mortality induced by gamma-irradiation,conditional,,na
MP:0001661,extended life span,beneficial,0,aging
MP:0002058,neonatal lethality,death,1,developmental
MP:0002080,prenatal lethality,death,1,developmental
MP:0002081,perinatal lethality,death,1,developmental
MP:0002082,postnatal lethality,death,1,postnatal
MP:0002083,premature death,death,1,adult_aging
MP:0003010,decreased mortality induced by ionizing radiation,protective,0,na
MP:0003786,premature aging,death,1,adult_aging
MP:0003992,increased mortality induced by ionizing radiation,conditional,,na
MP:0006204,embryonic lethality before implantation,death,1,developmental
MP:0006205,embryonic lethality between implantation and somite formation,death,1,developmental
MP:0006206,embryonic lethality between somite formation and embryo turning,death,1,developmental
MP:0006207,embryonic lethality during organogenesis,death,1,developmental
MP:0006208,lethality throughout fetal growth and development,death,1,developmental
MP:0008028,pregnancy-related premature death,reproductive,,na
MP:0008527,embryonic lethality at implantation,death,1,developmental
MP:0008569,lethality at weaning,death,1,developmental
MP:0008762,embryonic lethality,death,1,developmental
MP:0008770,decreased survivor rate,death,1,unspecified
MP:0008995,early reproductive senescence,reproductive,,na
MP:0009763,increased susceptibility to induced morbidity/mortality,conditional,,na
MP:0009764,decreased susceptibility to induced morbidity/mortality,protective,0,na
MP:0009765,abnormal xenobiotic induced morbidity/mortality,conditional,,na
MP:0009766,increased susceptibility to xenobiotic induced morbidity/mortality,conditional,,na
MP:0009767,decreased susceptibility to xenobiotic induced morbidity/mortality,protective,0,na
MP:0009785,abnormal susceptibility to infection induced morbidity/mortality,conditional,,na
MP:0009786,decreased susceptibility to infection induced morbidity/mortality,protective,0,na
MP:0009787,increased susceptibility to infection induced morbidity/mortality,conditional,,na
MP:0009788,increased susceptibility to bacterial infection induced morbidity/mortality,conditional,,na
MP:0009789,decreased susceptibility to bacterial infection induced morbidity/mortality,protective,0,na
MP:0009790,decreased susceptibility to viral infection induced morbidity/mortality,protective,0,na
MP:0009791,increased susceptibility to viral infection induced morbidity/mortality,conditional,,na
MP:0009850,embryonic lethality between implantation and placentation,death,1,developmental
MP:0010750,increased susceptibility to parasitic infection induced morbidity/mortality,conditional,,na
MP:0010751,decreased susceptibility to parasitic infection induced morbidity/mortality,protective,0,na
MP:0010769,abnormal survival,ambiguous,,na
MP:0010770,preweaning lethality,death,1,developmental
MP:0010831,"lethality, incomplete penetrance",death,1,unspecified
MP:0010832,lethality during fetal growth through weaning,death,1,developmental
MP:0011083,"lethality at weaning, complete penetrance",death,1,developmental
MP:0011084,"lethality at weaning, incomplete penetrance",death,1,developmental
MP:0011085,"postnatal lethality, complete penetrance",death,1,postnatal
MP:0011086,"postnatal lethality, incomplete penetrance",death,1,postnatal
MP:0011087,"neonatal lethality, complete penetrance",death,1,developmental
MP:0011088,"neonatal lethality, incomplete penetrance",death,1,developmental
MP:0011089,"perinatal lethality, complete penetrance",death,1,developmental
MP:0011090,"perinatal lethality, incomplete penetrance",death,1,developmental
MP:0011091,"prenatal lethality, complete penetrance",death,1,developmental
MP:0011092,"embryonic lethality, complete penetrance",death,1,developmental
MP:0011093,"embryonic lethality at implantation, complete penetrance",death,1,developmental
MP:0011094,"embryonic lethality before implantation, complete penetrance",death,1,developmental
MP:0011095,"embryonic lethality between implantation and placentation, complete penetrance",death,1,developmental
