mp_id,name
MP:0001657,abnormal induced morbidity/mortality
MP:0001658,increased mortality induced by gamma-irradiation
MP:0001661,extended life span
MP:0002058,neonatal lethality
MP:0002080,prenatal lethality
MP:0002081,perinatal lethality
MP:0002082,postnatal lethality
MP:0002083,premature death
MP:0003010,decreased mortality induced by ionizing radiation
MP:0003786,premature aging
MP:0003992,increased mortality induced by ionizing radiation
MP:0006204,embryonic lethality before implantation
MP:0006205,embryonic lethality between implantation and somite formation
MP:0006206,embryonic lethality between somite formation and embryo turning
MP:0006207,embryonic lethality during organogenesis
MP:0006208,lethality throughout fetal growth and development
MP:0008028,pregnancy-related premature death
MP:0008527,embryonic lethality at implantation
MP:0008569,lethality at weaning
MP:0008762,embryonic lethality
MP:0008770,decreased survivor rate
MP:0008995,early reproductive senescence
MP:0009763,increased susceptibility to induced morbidity/mortality
MP:0009764,decreased susceptibility to induced morbidity/mortality
MP:0009765,abnormal xenobiotic induced morbidity/mortality
MP:0009766,increased susceptibility to xenobiotic induced morbidity/mortality
MP:0009767,decreased susceptibility to xenobiotic induced morbidity/mortality
MP:0009785,abnormal susceptibility to infection induced morbidity/mortality
MP:0009786,decreased susceptibility to infection induced morbidity/mortality
MP:0009787,increased susceptibility to infection induced morbidity/mortality
MP:0009788,increased susceptibility to bacterial infection induced morbidity/mortality
MP:0009789,decreased susceptibility to bacterial infection induced morbidity/mortality
MP:0009790,decreased susceptibility to viral infection induced morbidity/mortality
MP:0009791,increased susceptibility to viral infection induced morbidity/mortality
MP:0009850,embryonic lethality between implantation and placentation
MP:0010750,increased susceptibility to parasitic infection induced morbidity/mortality
MP:0010751,decreased susceptibility to parasitic infection induced morbidity/mortality
MP:0010769,abnormal survival
MP:0010770,preweaning lethality
MP:0010831,"lethality, incomplete penetrance"
MP:0010832,lethality during fetal growth through weaning
MP:0011083,"lethality at weaning, complete penetrance"
MP:0011084,"lethality at weaning, incomplete penetrance"
MP:0011085,"postnatal lethality, complete penetrance"
